DATE,positive,negative,neutral,score
2019-12-11,0.0,0.0,1.0,0.0
2019-12-12,0.0295,0.0,0.9705,0.085
2019-12-13,0.0365,0.0385,0.925,0.0369
2019-12-16,0.159,0.05533333333333334,0.7856666666666667,0.3085333333333333
2019-12-17,0.03666666666666667,0.038,0.9253333333333332,-0.0086
2019-12-19,0.0315,0.0,0.9685,0.045
2019-12-20,0.0385,0.0,0.9615,0.11893333333333334
2019-12-22,0.03375,0.02975,0.9365,0.025825
2019-12-23,0.23450000000000001,0.0,0.7655000000000001,0.7169
2019-12-24,0.04533333333333334,0.0,0.9546666666666667,0.0086
2019-12-25,0.1935,0.048,0.7585,0.35950000000000004
2019-12-26,0.0,0.049,0.9510000000000001,-0.1909
2019-12-27,0.103,0.057,0.84,0.13815714285714284
2019-12-28,0.0,0.0,1.0,0.0
2019-12-30,0.0,0.0,1.0,0.0
2019-12-31,0.24,0.0,0.76,0.743
2020-01-01,0.138,0.0,0.862,0.4939
2020-01-02,0.0,0.0,1.0,0.0
2020-01-05,0.0,0.0,1.0,0.0
2020-01-07,0.109,0.09642857142857142,0.7945714285714285,0.12402857142857145
2020-01-09,0.033,0.15375,0.81325,-0.03637499999999999
2020-01-10,0.15811111111111112,0.011777777777777778,0.8301111111111111,0.3464
2020-01-12,0.321,0.0,0.679,0.6369
2020-01-13,0.06866666666666667,0.09066666666666667,0.8403333333333333,-0.11053333333333333
2020-01-14,0.0992857142857143,0.025857142857142856,0.8748571428571428,0.13667142857142858
2020-01-15,0.061857142857142854,0.014857142857142857,0.9232857142857143,0.10395714285714286
2020-01-16,0.0,0.09566666666666668,0.9043333333333333,-0.2735
2020-01-17,0.0,0.0,1.0,0.0
2020-01-18,0.121,0.2333333333333333,0.6453333333333333,-0.2258
2020-01-19,0.03525,0.098,0.86675,-0.1245
2020-01-22,0.13585714285714284,0.04978571428571428,0.8144285714285715,0.16502857142857144
2020-01-24,0.15425,0.11475,0.731,0.101025
2020-01-25,0.0,0.0,1.0,0.0
2020-01-27,0.20766666666666667,0.0,0.7923333333333332,0.4594666666666667
2020-01-28,0.0345,0.2025,0.7625,-0.534
2020-01-29,0.05125,0.13,0.81875,-0.248975
2020-01-30,0.115,0.053000000000000005,0.8320000000000001,0.04720000000000002
2020-01-31,0.08075,0.11725000000000001,0.80225,-0.03842499999999999
2020-02-02,0.07615384615384616,0.02107692307692308,0.9027692307692308,0.050507692307692316
2020-02-03,0.11599999999999999,0.017333333333333333,0.8663333333333334,0.2786666666666667
2020-02-04,0.06133333333333333,0.036,0.9026666666666667,0.07466666666666666
2020-02-05,0.12125,0.0,0.8787499999999999,0.136375
2020-02-06,0.04133333333333333,0.0,0.9586666666666667,0.13396666666666665
2020-02-07,0.1395,0.05275,0.808,0.22797499999999998
2020-02-08,0.08,0.0,0.92,0.0772
2020-02-09,0.0,0.0,1.0,0.0
2020-02-10,0.0,0.0,1.0,0.0
